"plezalisce","regija","drzava"
Gorg Blau,None,Španija
Grazalema,None,Španija
Infierno,None,Španija
la muela,None,Španija
Les perxes,None,Španija
LLaberia/tivisa,None,Španija
Mallorca - La Creveta,None,Španija
Mallorca - Sestret,None,Španija
Mallorca - Valldemossa,None,Španija
Margalef,None,Španija
Masriudoms,None,Španija
Montsant,None,Španija
Oliana,None,Španija
Port de Soller,None,Španija
port de solrer,None,Španija
Rodellar,None,Španija
Rumenes,None,Španija
Sa Gubia,None,Španija
Siurana,None,Španija
Sollius,None,Španija
St. Llorenc de Montgai,None,Španija
Tartareu,None,Španija
Tenerife  - Guia de Isora,None,Španija
Tenerife - Arico,None,Španija
Tenerife - El Hoyo,None,Španija
Tenerife - El Rio,None,Španija
Tenerife - La Galeria,None,Španija
Tenerife - Las Bovedas,None,Španija
Tenerife - Planeta  Zarza,None,Španija
Tenerife - Santa Ursula (Vistamar),None,Španija
Terradets - Paret de les Bruixes,None,Španija
Teverga,None,Španija
Tijuana (Santanyi),None,Španija
Tres Ponts,None,Španija
Urdon,None,Španija
Vilanova de Prades,None,Španija
Villanueva de Valdegovia,None,Španija
Villanueva del rosario,None,Španija
Grdoba,None,Srbija
Jelašnička klisura,None,Srbija
Töllsjo,None,Švedska
Engelberg,None,Švica
Oberdörf-Bubichopf,None,Švica
Chiang Mai - Crazy Horse Buttress,None,Tajska
Krabi - Diamond Cave,None,Tajska
Krabi - Dums Kitchen,None,Tajska
Krabi - Eagle Wall,None,Tajska
Krabi - Melting Wall,None,Tajska
Krabi - Muay Thai,None,Tajska
Krabi - One Two Three,None,Tajska
Krabi - Thaiwand Wall,None,Tajska
Krabi - The Nest/Wild Kingdom,None,Tajska
Krabi - Ton Sai Wall and Roof,None,Tajska
Krabi - Wees Present Wall,None,Tajska
spyderman wall,None,Tajska
Datça,None,Turčija
Geyikbayiri,None,Turčija
Calico Basin,None,Združene države Amerike
Calico Hills, The Gallery,None,Združene države Amerike
Joshua Tree,None,Združene države Amerike
Red River Gorge,None,Združene države Amerike
Smith Rock,None,Združene države Amerike
